kind,state,t,value
mean_abs_residual,$\delta$,0.0,0.042115144431591034
mean_abs_error,$\delta$,0.0,0.05219070613384247
mean_abs_residual,$\delta$,0.00010010010009864345,0.04211171716451645
mean_abs_error,$\delta$,0.00010010010009864345,0.052181921899318695
mean_abs_residual,$\delta$,0.0002002002001972869,0.04210829362273216
mean_abs_error,$\delta$,0.0002002002001972869,0.052173126488924026
mean_abs_residual,$\delta$,0.00030030030757188797,0.042104870080947876
mean_abs_error,$\delta$,0.00030030030757188797,0.05216432735323906
mean_abs_residual,$\delta$,0.0004004004003945738,0.04210143908858299
mean_abs_error,$\delta$,0.0004004004003945738,0.0521555133163929
mean_abs_residual,$\delta$,0.0005005004932172596,0.0420980229973793
mean_abs_error,$\delta$,0.0005005004932172596,0.052146703004837036
mean_abs_residual,$\delta$,0.0006006006151437759,0.04209459200501442
mean_abs_error,$\delta$,0.0006006006151437759,0.052137866616249084
mean_abs_residual,$\delta$,0.0007007006788626313,0.042091164737939835
mean_abs_error,$\delta$,0.0007007006788626313,0.05212903395295143
mean_abs_residual,$\delta$,0.0008008008007891476,0.04208774492144585
mean_abs_error,$\delta$,0.0008008008007891476,0.05212019383907318
mean_abs_residual,$\delta$,0.0009009009227156639,0.04208432137966156
mean_abs_error,$\delta$,0.0009009009227156639,0.05211135372519493
mean_abs_residual,$\delta$,0.0010010009864345193,0.042080894112586975
mean_abs_error,$\delta$,0.0010010009864345193,0.05210249871015549
mean_abs_residual,$\delta$,0.0011011010501533747,0.04207747057080269
mean_abs_error,$\delta$,0.0011011010501533747,0.052093639969825745
mean_abs_residual,$\delta$,0.0012012012302875519,0.0420740507543087
mean_abs_error,$\delta$,0.0012012012302875519,0.05208477005362511
mean_abs_residual,$\delta$,0.0013013012940064073,0.042070623487234116
mean_abs_error,$\delta$,0.0013013012940064073,0.05207589641213417
mean_abs_residual,$\delta$,0.0014014013577252626,0.04206719249486923
mean_abs_error,$\delta$,0.0014014013577252626,0.05206700414419174
mean_abs_residual,$\delta$,0.0015015015378594398,0.042063768953084946
mean_abs_error,$\delta$,0.0015015015378594398,0.05205811932682991
mean_abs_residual,$\delta$,0.0016016016015782952,0.04206034541130066
mean_abs_error,$\delta$,0.0016016016015782952,0.052049215883016586
mean_abs_residual,$\delta$,0.0017017016652971506,0.04205692932009697
mean_abs_error,$\delta$,0.0017017016652971506,0.05204031988978386
mean_abs_residual,$\delta$,0.0018018018454313278,0.04205350577831268
mean_abs_error,$\delta$,0.0018018018454313278,0.05203140154480934
mean_abs_residual,$\delta$,0.0019019019091501832,0.0420500747859478
mean_abs_error,$\delta$,0.0019019019091501832,0.05202249065041542
mean_abs_residual,$\delta$,0.0020020019728690386,0.04204665496945381
mean_abs_error,$\delta$,0.0020020019728690386,0.05201356112957001
mean_abs_residual,$\delta$,0.002102102153003216,0.04204322770237923
mean_abs_error,$\delta$,0.002102102153003216,0.0520046204328537
mean_abs_residual,$\delta$,0.0022022021003067493,0.04203980788588524
mean_abs_error,$\delta$,0.0022022021003067493,0.05199568346142769
mean_abs_residual,$\delta$,0.0023023022804409266,0.042036376893520355
mean_abs_error,$\delta$,0.0023023022804409266,0.05198673903942108
mean_abs_residual,$\delta$,0.0024024024605751038,0.04203295707702637
mean_abs_error,$\delta$,0.0024024024605751038,0.05197777599096298
mean_abs_residual,$\delta$,0.0025025024078786373,0.04202952980995178
mean_abs_error,$\delta$,0.0025025024078786373,0.05196881666779518
mean_abs_residual,$\delta$,0.0026026025880128145,0.042026106268167496
mean_abs_error,$\delta$,0.0026026025880128145,0.051959842443466187
mean_abs_residual,$\delta$,0.0027027027681469917,0.04202268272638321
mean_abs_error,$\delta$,0.0027027027681469917,0.05195087566971779
mean_abs_residual,$\delta$,0.0028028027154505253,0.04201926290988922
mean_abs_error,$\delta$,0.0028028027154505253,0.0519418865442276
mean_abs_residual,$\delta$,0.0029029028955847025,0.042015839368104935
mean_abs_error,$\delta$,0.0029029028955847025,0.05193294584751129
mean_abs_residual,$\delta$,0.0030030030757188797,0.04201241582632065
mean_abs_error,$\delta$,0.0030030030757188797,0.051924463361501694
mean_abs_residual,$\delta$,0.0031031030230224133,0.04200899228453636
mean_abs_error,$\delta$,0.0031031030230224133,0.0519159659743309
mean_abs_residual,$\delta$,0.0032032032031565905,0.042005568742752075
mean_abs_error,$\delta$,0.0032032032031565905,0.051907457411289215
mean_abs_residual,$\delta$,0.0033033033832907677,0.04200213775038719
mean_abs_error,$\delta$,0.0033033033832907677,0.05189894139766693
mean_abs_residual,$\delta$,0.0034034033305943012,0.0419987216591835
mean_abs_error,$\delta$,0.0034034033305943012,0.05189042165875435
mean_abs_residual,$\delta$,0.0035035035107284784,0.04199529066681862
mean_abs_error,$\delta$,0.0035035035107284784,0.05188189074397087
mean_abs_residual,$\delta$,0.0036036036908626556,0.04199187457561493
mean_abs_error,$\delta$,0.0036036036908626556,0.051873356103897095
mean_abs_residual,$\delta$,0.003703703638166189,0.041988447308540344
mean_abs_error,$\delta$,0.003703703638166189,0.05186481773853302
mean_abs_residual,$\delta$,0.0038038038183003664,0.04198502376675606
mean_abs_error,$\delta$,0.0038038038183003664,0.05185626074671745
mean_abs_residual,$\delta$,0.0039039039984345436,0.04198160767555237
mean_abs_error,$\delta$,0.0039039039984345436,0.051847707480192184
mean_abs_residual,$\delta$,0.004004003945738077,0.04197818413376808
mean_abs_error,$\delta$,0.004004003945738077,0.05183914303779602
mean_abs_residual,$\delta$,0.004104103893041611,0.041974760591983795
mean_abs_error,$\delta$,0.004104103893041611,0.05183056369423866
mean_abs_residual,$\delta$,0.004204204306006432,0.04197132959961891
mean_abs_error,$\delta$,0.004204204306006432,0.051821980625391006
mean_abs_residual,$\delta$,0.004304304253309965,0.04196791350841522
mean_abs_error,$\delta$,0.004304304253309965,0.05181340128183365
mean_abs_residual,$\delta$,0.004404404200613499,0.04196448251605034
mean_abs_error,$\delta$,0.004404404200613499,0.0518047995865345
mean_abs_residual,$\delta$,0.0045045046135783195,0.04196106269955635
mean_abs_error,$\delta$,0.0045045046135783195,0.05179620161652565
mean_abs_residual,$\delta$,0.004604604560881853,0.041957639157772064
mean_abs_error,$\delta$,0.004604604560881853,0.051787592470645905
mean_abs_residual,$\delta$,0.004704704508185387,0.04195421561598778
mean_abs_error,$\delta$,0.004704704508185387,0.05177897587418556
mean_abs_residual,$\delta$,0.0048048049211502075,0.04195079207420349
mean_abs_error,$\delta$,0.0048048049211502075,0.05177035927772522
mean_abs_residual,$\delta$,0.004904904868453741,0.041947364807128906
mean_abs_error,$\delta$,0.004904904868453741,0.051761727780103683
mean_abs_residual,$\delta$,0.005005004815757275,0.041943952441215515
mean_abs_error,$\delta$,0.005005004815757275,0.05175308883190155
mean_abs_residual,$\delta$,0.0051051052287220955,0.04194052144885063
mean_abs_error,$\delta$,0.0051051052287220955,0.05174444615840912
mean_abs_residual,$\delta$,0.005205205176025629,0.041937101632356644
mean_abs_error,$\delta$,0.005205205176025629,0.05173579230904579
mean_abs_residual,$\delta$,0.005305305123329163,0.04193367436528206
mean_abs_error,$\delta$,0.005305305123329163,0.05172713100910187
mean_abs_residual,$\delta$,0.0054054055362939835,0.04193026199936867
mean_abs_error,$\delta$,0.0054054055362939835,0.051718469709157944
mean_abs_residual,$\delta$,0.005505505483597517,0.04192683845758438
mean_abs_error,$\delta$,0.005505505483597517,0.05170980095863342
mean_abs_residual,$\delta$,0.005605605430901051,0.041923414915800095
mean_abs_error,$\delta$,0.005605605430901051,0.05170111730694771
mean_abs_residual,$\delta$,0.005705705843865871,0.04191999137401581
mean_abs_error,$\delta$,0.005705705843865871,0.051692429929971695
mean_abs_residual,$\delta$,0.005805805791169405,0.04191656410694122
mean_abs_error,$\delta$,0.005805805791169405,0.051683735102415085
mean_abs_residual,$\delta$,0.0059059057384729385,0.041913148015737534
mean_abs_error,$\delta$,0.0059059057384729385,0.05167527496814728
mean_abs_residual,$\delta$,0.006006006151437759,0.04190971702337265
mean_abs_error,$\delta$,0.006006006151437759,0.051666922867298126
mean_abs_residual,$\delta$,0.006106106098741293,0.04190630093216896
mean_abs_error,$\delta$,0.006106106098741293,0.05165857449173927
mean_abs_residual,$\delta$,0.0062062060460448265,0.04190288111567497
mean_abs_error,$\delta$,0.0062062060460448265,0.051650211215019226
mean_abs_residual,$\delta$,0.006306306459009647,0.04189945384860039
mean_abs_error,$\delta$,0.006306306459009647,0.05164184048771858
mean_abs_residual,$\delta$,0.006406406406313181,0.0418960340321064
mean_abs_error,$\delta$,0.006406406406313181,0.05163346603512764
mean_abs_residual,$\delta$,0.0065065063536167145,0.04189261049032211
mean_abs_error,$\delta$,0.0065065063536167145,0.0516250878572464
mean_abs_residual,$\delta$,0.006606606766581535,0.04188918694853783
mean_abs_error,$\delta$,0.006606606766581535,0.05161670222878456
mean_abs_residual,$\delta$,0.006706706713885069,0.04188576340675354
mean_abs_error,$\delta$,0.006706706713885069,0.05160830542445183
mean_abs_residual,$\delta$,0.0068068066611886024,0.04188234359025955
mean_abs_error,$\delta$,0.0068068066611886024,0.05159991234540939
mean_abs_residual,$\delta$,0.006906907074153423,0.041878920048475266
mean_abs_error,$\delta$,0.006906907074153423,0.05159149691462517
mean_abs_residual,$\delta$,0.007007007021456957,0.04187550023198128
mean_abs_error,$\delta$,0.007007007021456957,0.05158308148384094
mean_abs_residual,$\delta$,0.00710710696876049,0.04187207669019699
mean_abs_error,$\delta$,0.00710710696876049,0.05157465487718582
mean_abs_residual,$\delta$,0.007207207381725311,0.041868656873703
mean_abs_error,$\delta$,0.007207207381725311,0.0515662245452404
mean_abs_residual,$\delta$,0.007307307329028845,0.041865233331918716
mean_abs_error,$\delta$,0.007307307329028845,0.051557790488004684
mean_abs_residual,$\delta$,0.007407407276332378,0.04186181724071503
mean_abs_error,$\delta$,0.007407407276332378,0.05154934898018837
mean_abs_residual,$\delta$,0.007507507689297199,0.04185838624835014
