state,slope_all,bias_all,R2_all,slope_T,bias_T,corr_T
$\delta$,1.8132131099700928,-0.01996307075023651,0.0015673951220939175,-163.96905517578125,-0.6945463418960571,-0.4802243282248931
$\omega$,0.6519010663032532,-0.10108737647533417,0.08943888652286869,0.17800331115722656,-0.1772696077823639,0.1824648634900757
$E'_d$,-0.03877856209874153,-0.06364953517913818,0.00015466804805874812,44.170753479003906,0.8714134097099304,0.5026204605583388
$E'_q$,0.21269753575325012,-0.8380644917488098,0.07193343607771452,0.26147183775901794,-0.8363047242164612,0.25831557590933274
