state,t,mean_signed_error,mean_signed_intres,mean_signed_diff
$\delta$,0.0025025024078786373,-0.020125355571508408,-0.00010949756688205525,-0.020015858113765717
$\delta$,0.0026026025880128145,-0.02012087032198906,-0.00011370438005542383,-0.020007167011499405
$\delta$,0.0027027027681469917,-0.02011643908917904,-0.00011791085853474215,-0.01999852806329727
$\delta$,0.0028028027154505253,-0.0201120562851429,-0.0001221169950440526,-0.019989941269159317
$\delta$,0.0029029028955847025,-0.020107729360461235,-0.0001263227895833552,-0.01998140662908554
$\delta$,0.0030030030757188797,-0.0201034564524889,-0.00013052822032477707,-0.01997292786836624
$\delta$,0.0031031030230224133,-0.020099233835935593,-0.0001347333163721487,-0.01996450126171112
$\delta$,0.0032032032031565905,-0.020095065236091614,-0.00013893810682930052,-0.019956126809120178
$\delta$,0.0033033033832907677,-0.020090948790311813,-0.00014314251893665642,-0.019947804510593414
$\delta$,0.0034034033305943012,-0.02008688636124134,-0.00014734658179804683,-0.019939538091421127
$\delta$,0.0035035035107284784,-0.020082872360944748,-0.00015155032451730222,-0.01993132010102272
$\delta$,0.0036036036908626556,-0.020078908652067184,-0.0001557537034386769,-0.01992315612733364
$\delta$,0.003703703638166189,-0.020075004547834396,-0.00015995676221791655,-0.01991504617035389
$\delta$,0.0038038038183003664,-0.02007114700973034,-0.0001641594571992755,-0.019906988367438316
$\delta$,0.0039039039984345436,-0.02006734348833561,-0.00016836183203849941,-0.019898980855941772
$\delta$,0.004004003945738077,-0.02006359025835991,-0.00017256384307984263,-0.019891025498509407
$\delta$,0.004104103893041611,-0.02005988545715809,-0.00017676550487522036,-0.01988312043249607
$\delta$,0.004204204306006432,-0.020056236535310745,-0.0001809668610803783,-0.019875269383192062
$\delta$,0.004304304253309965,-0.02005263976752758,-0.00018516786803957075,-0.01986747235059738
$\delta$,0.004404404200613499,-0.020049095153808594,-0.00018936849664896727,-0.01985972374677658
$\delta$,0.0045045046135783195,-0.020045597106218338,-0.00019356880511622876,-0.01985202729701996
$\delta$,0.004604604560881853,-0.02004215307533741,-0.00019776876433752477,-0.019844381138682365
$\delta$,0.004704704508185387,-0.02003876119852066,-0.00020196838886477053,-0.01983679085969925
$\delta$,0.0048048049211502075,-0.020035414025187492,-0.00020616767869796604,-0.019829247146844864
$\delta$,0.004904904868453741,-0.0200321264564991,-0.00021036660473328084,-0.019821761175990105
$\delta$,0.005005004815757275,-0.020028887316584587,-0.0002145652106264606,-0.019814318045973778
$\delta$,0.0051051052287220955,-0.020025698468089104,-0.00021876343816984445,-0.019806936383247375
$\delta$,0.005205205176025629,-0.02002255618572235,-0.0002229613601230085,-0.019799595698714256
$\delta$,0.005305305123329163,-0.020019469782710075,-0.0002271589037263766,-0.019792312756180763
$\delta$,0.0054054055362939835,-0.02001643367111683,-0.00023135615629144013,-0.01978507824242115
