state,slope_all,bias_all,R2_all,slope_T,bias_T,corr_T
$\delta$,1.4614391326904297,0.005809784401208162,0.009911574341528229,-2.8804595470428467,-0.04993424192070961,-0.23732627996506706
$\omega$,-0.4218916594982147,-0.21304279565811157,0.17009249215220978,-0.2531067728996277,-0.23764827847480774,-0.4757519267178815
$E'_d$,2.698631525039673,-0.05684671923518181,0.03073232878582044,65.15624237060547,-0.4010877013206482,0.9572426145421394
$E'_q$,0.9892555475234985,-0.9268585443496704,0.031169486839736305,-17.30799674987793,-0.795637309551239,-0.1151992257642882
