state,which,ic_index,rms_value,y0[0],y0[1],y0[2],y0[3],y0[4],y0[5],y0[6]
$\delta$,residual_best,72,0.01728365197777748,-0.08749256283044815,0.594602108001709,0.0,1.0,0.7099999785423279,1.0081404447555542,-0.0891951322555542
$\delta$,residual_worst,124,0.07415062934160233,0.0454060360789299,-0.5842311382293701,0.0,1.0,0.7099999785423279,1.0184779167175293,0.0633322075009346
$\delta$,error_best,128,0.0032703252509236336,0.01736442744731903,-0.006427586078643799,0.0,1.0,0.7099999785423279,1.0033289194107056,-0.07958300411701202
$\delta$,error_worst,73,0.09863623231649399,-0.09522872418165207,-0.47580817341804504,0.0,1.0,0.7099999785423279,1.001468300819397,-0.0999000295996666
$\omega$,residual_best,156,0.029959358274936676,0.0939965471625328,0.3690245747566223,0.0,1.0,0.7099999785423279,0.9879707098007202,0.002866029739379883
$\omega$,residual_worst,23,6.227497100830078,0.040398068726062775,-0.5114887952804565,0.0,1.0,0.7099999785423279,0.9998310804367065,-0.09766953438520432
$\omega$,error_best,111,0.037767548114061356,0.03737533837556839,-0.06850695610046387,0.0,1.0,0.7099999785423279,0.9930993914604187,-0.03026418387889862
$\omega$,error_worst,110,0.7171773910522461,-0.09792806953191757,0.26590800285339355,0.0,1.0,0.7099999785423279,0.9810879826545715,0.09332307428121567
$E'_d$,residual_best,72,0.02377547323703766,-0.08749256283044815,0.594602108001709,0.0,1.0,0.7099999785423279,1.0081404447555542,-0.0891951322555542
$E'_d$,residual_worst,34,0.030934546142816544,0.09977620095014572,-0.5934258103370667,0.0,1.0,0.7099999785423279,0.99092698097229,-0.045675553381443024
$E'_d$,error_best,148,0.006219175178557634,-0.0595264695584774,-0.5741849541664124,0.0,1.0,0.7099999785423279,0.9867247939109802,0.04143155366182327
$E'_d$,error_worst,149,0.09451780468225479,0.08428425341844559,0.5783693790435791,0.0,1.0,0.7099999785423279,1.0042240619659424,-0.0812564492225647
$E'_q$,residual_best,75,0.034956902265548706,0.031423501670360565,0.42706942558288574,0.0,1.0,0.7099999785423279,0.9833390116691589,0.09879983216524124
$E'_q$,residual_worst,18,0.03660466894507408,-0.07311999797821045,0.05058431625366211,0.0,1.0,0.7099999785423279,0.9912087917327881,-0.08532919734716415
$E'_q$,error_best,149,0.8968909382820129,0.08428425341844559,0.5783693790435791,0.0,1.0,0.7099999785423279,1.0042240619659424,-0.0812564492225647
$E'_q$,error_worst,129,0.9499340057373047,-0.0856722965836525,-0.5377408266067505,0.0,1.0,0.7099999785423279,1.0130863189697266,0.07377081364393234
