kind,state,ic_index,value
error_rms,$\delta$,61,0.09330734610557556
residual_rms,$\delta$,62,0.06487751007080078
error_rms,$\delta$,62,0.016680510714650154
residual_rms,$\delta$,63,0.045522648841142654
error_rms,$\delta$,63,0.05449056997895241
residual_rms,$\delta$,64,0.026058105751872063
error_rms,$\delta$,64,0.05051272362470627
residual_rms,$\delta$,65,0.03577888011932373
error_rms,$\delta$,65,0.03601952642202377
residual_rms,$\delta$,66,0.022789301350712776
error_rms,$\delta$,66,0.0904839038848877
residual_rms,$\delta$,67,0.04006946086883545
error_rms,$\delta$,67,0.032549601048231125
residual_rms,$\delta$,68,0.03327445313334465
error_rms,$\delta$,68,0.032917123287916183
residual_rms,$\delta$,69,0.047080524265766144
error_rms,$\delta$,69,0.03508787602186203
residual_rms,$\delta$,70,0.06998515874147415
error_rms,$\delta$,70,0.05919342115521431
residual_rms,$\delta$,71,0.03486750274896622
error_rms,$\delta$,71,0.05181386321783066
residual_rms,$\delta$,72,0.01728365197777748
error_rms,$\delta$,72,0.060824472457170486
residual_rms,$\delta$,73,0.06693649291992188
error_rms,$\delta$,73,0.09863623231649399
residual_rms,$\delta$,74,0.0243328008800745
error_rms,$\delta$,74,0.04131818935275078
residual_rms,$\delta$,75,0.029265787452459335
error_rms,$\delta$,75,0.06148099526762962
residual_rms,$\delta$,76,0.0358252227306366
error_rms,$\delta$,76,0.022330066189169884
residual_rms,$\delta$,77,0.03138929232954979
error_rms,$\delta$,77,0.021710073575377464
residual_rms,$\delta$,78,0.032820962369441986
error_rms,$\delta$,78,0.03241828829050064
residual_rms,$\delta$,79,0.06368450075387955
error_rms,$\delta$,79,0.006712563335895538
residual_rms,$\delta$,80,0.028120633214712143
error_rms,$\delta$,80,0.026725146919488907
residual_rms,$\delta$,81,0.06449952721595764
error_rms,$\delta$,81,0.06885869801044464
residual_rms,$\delta$,82,0.0321492962539196
error_rms,$\delta$,82,0.033013273030519485
residual_rms,$\delta$,83,0.04049103334546089
error_rms,$\delta$,83,0.03609633445739746
residual_rms,$\delta$,84,0.044258955866098404
error_rms,$\delta$,84,0.03263166919350624
residual_rms,$\delta$,85,0.05703858286142349
error_rms,$\delta$,85,0.07507940381765366
residual_rms,$\delta$,86,0.051045481115579605
error_rms,$\delta$,86,0.0777026042342186
residual_rms,$\delta$,87,0.05755145475268364
error_rms,$\delta$,87,0.05366350710391998
residual_rms,$\delta$,88,0.042489439249038696
error_rms,$\delta$,88,0.07882744818925858
residual_rms,$\delta$,89,0.028206409886479378
error_rms,$\delta$,89,0.006764193065464497
residual_rms,$\delta$,90,0.06762345135211945
error_rms,$\delta$,90,0.05237136408686638
residual_rms,$\delta$,91,0.03439025208353996
error_rms,$\delta$,91,0.017510533332824707
residual_rms,$\delta$,92,0.06426949054002762
error_rms,$\delta$,92,0.02360513061285019
residual_rms,$\delta$,93,0.022163521498441696
error_rms,$\delta$,93,0.010717607103288174
residual_rms,$\delta$,94,0.07290025055408478
error_rms,$\delta$,94,0.05714065581560135
residual_rms,$\delta$,95,0.05494850501418114
error_rms,$\delta$,95,0.06998162716627121
residual_rms,$\delta$,96,0.039010658860206604
error_rms,$\delta$,96,0.04951965808868408
residual_rms,$\delta$,97,0.060156483203172684
error_rms,$\delta$,97,0.07073215395212173
residual_rms,$\delta$,98,0.018936654552817345
error_rms,$\delta$,98,0.050377704203128815
residual_rms,$\delta$,99,0.0602758452296257
error_rms,$\delta$,99,0.07203255593776703
residual_rms,$\delta$,100,0.05204495042562485
error_rms,$\delta$,100,0.05918469652533531
residual_rms,$\delta$,101,0.044609181582927704
error_rms,$\delta$,101,0.05475490540266037
residual_rms,$\delta$,102,0.053353238850831985
