state,t,mean_signed_error,mean_signed_intres,mean_signed_diff
$\delta$,0.011011010967195034,0.01591765694320202,-0.0004906028625555336,0.01640826277434826
$\delta$,0.011211210861802101,0.01590362936258316,-0.0004993978072889149,0.01640302687883377
$\delta$,0.011411411687731743,0.015889447182416916,-0.0005081940907984972,0.016397643834352493
$\delta$,0.01161161158233881,0.015875104814767838,-0.0005169915966689587,0.016392096877098083
$\delta$,0.011811811476945877,0.015860609710216522,-0.0005257902084849775,0.016386397182941437
$\delta$,0.012012012302875519,0.015845956280827522,-0.0005345901590771973,0.016380546614527702
$\delta$,0.012212212197482586,0.015831148251891136,-0.0005433911574073136,0.016374539583921432
$\delta$,0.012412412092089653,0.015816187486052513,-0.00055219343630597,0.016368381679058075
$\delta$,0.012612612918019295,0.015801070258021355,-0.0005609969375655055,0.01636206917464733
$\delta$,0.012812812812626362,0.015785804018378258,-0.0005698015447705984,0.0163556057959795
$\delta$,0.013013012707233429,0.015770379453897476,-0.0005786074907518923,0.016348985955119133
$\delta$,0.01321321353316307,0.015754807740449905,-0.0005874146008864045,0.016342220827937126
$\delta$,0.013413413427770138,0.01573907770216465,-0.000596222875174135,0.016335302963852882
$\delta$,0.013613613322377205,0.015723204240202904,-0.0006050323136150837,0.0163282360881567
$\delta$,0.013813814148306847,0.01570717617869377,-0.0006138430326245725,0.01632101833820343
$\delta$,0.014014014042913914,0.0156909991055727,-0.0006226549157872796,0.01631365343928337
$\delta$,0.01421421393752098,0.01567467302083969,-0.0006314680213108659,0.016306143254041672
$\delta$,0.014414414763450623,0.015658196061849594,-0.0006402822327800095,0.016298474743962288
$\delta$,0.01461461465805769,0.01564156636595726,-0.0006490978412330151,0.01629066653549671
$\delta$,0.014814814552664757,0.01562479417771101,-0.0006579144392162561,0.0162827055901289
$\delta$,0.015015015378594398,0.015607872046530247,-0.0006667324923910201,0.016274603083729744
$\delta$,0.015215215273201466,0.01559079997241497,-0.0006755515933036804,0.01626635156571865
$\delta$,0.015415415167808533,0.015573588199913502,-0.0006843720329925418,0.016257960349321365
$\delta$,0.015615615993738174,0.015556225553154945,-0.0006931934622116387,0.01624942012131214
$\delta$,0.015815814957022667,0.015538718551397324,-0.0007020161137916148,0.016240734606981277
$\delta$,0.01601601578295231,0.015521063469350338,-0.0007108401623554528,0.016231903806328773
$\delta$,0.01621621660888195,0.01550326682627201,-0.0007196652004495263,0.01622292958199978
$\delta$,0.016416415572166443,0.015485324896872044,-0.0007284915191121399,0.01621381565928459
$\delta$,0.016616616398096085,0.01546724047511816,-0.0007373191183432937,0.016204560175538063
$\delta$,0.016816817224025726,0.015449009835720062,-0.0007461479399353266,0.016195155680179596
$\delta$,0.01701701618731022,0.015430637635290623,-0.000754977751057595,0.016185613349080086
$\delta$,0.01721721701323986,0.015412124805152416,-0.0007638090173713863,0.016175933182239532
$\delta$,0.017417417839169502,0.015393469482660294,-0.0007726413896307349,0.01616610959172249
$\delta$,0.017617616802453995,0.015374667942523956,-0.0007814749260433018,0.016156142577528954
$\delta$,0.017817817628383636,0.015355728566646576,-0.0007903096848167479,0.016146037727594376
$\delta$,0.018018018454313278,0.015336651355028152,-0.000799145782366395,0.016135796904563904
$\delta$,0.01821821741759777,0.01531742699444294,-0.0008079829276539385,0.01612541265785694
$\delta$,0.018418418243527412,0.015298071317374706,-0.0008168212953023612,0.016114892438054085
$\delta$,0.018618619069457054,0.015278574079275131,-0.000825661001726985,0.016104234382510185
$\delta$,0.018818818032741547,0.015258935280144215,-0.0008345015812665224,0.016093438491225243
$\delta$,0.01901901885867119,0.015239162370562553,-0.0008433436742052436,0.016082502901554108
$\delta$,0.01921921968460083,0.015219250693917274,-0.000852186989504844,0.016071436926722527
$\delta$,0.019419418647885323,0.015199203044176102,-0.0008610313525423408,0.016060233116149902
$\delta$,0.019619619473814964,0.015179017558693886,-0.0008698768797330558,0.016048893332481384
$\delta$,0.019819820299744606,0.015158694237470627,-0.0008787238621152937,0.016037417575716972
$\delta$,0.0200200192630291,0.015138238668441772,-0.0008875717176124454,0.016025813296437263
$\delta$,0.02022022008895874,0.015117645263671875,-0.0008964208536781371,0.016014067456126213
$\delta$,0.020420420914888382,0.015096918679773808,-0.0009052713285200298,0.016002193093299866
$\delta$,0.020620619878172874,0.015076054260134697,-0.0009141229675151408,0.015990179032087326
$\delta$,0.020820820704102516,0.015055057592689991,-0.0009229758870787919,0.01597803458571434
$\delta$,0.021021021530032158,0.015033929608762264,-0.0009318299125880003,0.015965759754180908
$\delta$,0.02122122049331665,0.015012664720416069,-0.0009406852186657488,0.01595335081219673
$\delta$,0.021421421319246292,0.014991262927651405,-0.0009495416888967156,0.01594080589711666
$\delta$,0.021621622145175934,0.01496974378824234,-0.0009583993232809007,0.01592814363539219
$\delta$,0.021821821108460426,0.014948085881769657,-0.0009672580636106431,0.015915343537926674
$\delta$,0.022022021934390068,0.01492629386484623,-0.0009761182009242475,0.015902411192655563
$\delta$,0.02222222276031971,0.01490437425673008,-0.000984979560598731,0.015889352187514305
$\delta$,0.022422421723604202,0.014882326126098633,-0.000993842026218772,0.01587616838514805
$\delta$,0.022622622549533844,0.014860143885016441,-0.001002705655992031,0.015862852334976196
$\delta$,0.022822823375463486,0.014837834984064102,-0.0010115705663338304,0.01584940403699875
$\delta$,0.023023022338747978,0.014815395697951317,-0.0010204366408288479,0.01583583652973175
$\delta$,0.02322322316467762,0.014792832545936108,-0.0010293037630617619,0.015822136774659157
$\delta$,0.02342342399060726,0.014770133420825005,-0.0010381725151091814,0.015808306634426117
$\delta$,0.023623622953891754,0.014747309498488903,-0.001047041965648532,0.01579435169696808
$\delta$,0.023823823779821396,0.014724361710250378,-0.001055913046002388,0.01578027382493019
$\delta$,0.024024024605751038,0.014701285399496555,-0.0010647851740941405,0.015766071155667305
$\delta$,0.02422422356903553,0.014678079634904861,-0.0010736583499237895,0.01575174182653427
$\delta$,0.024424424394965172,0.014654756523668766,-0.0010825329227373004,0.015737289562821388
$\delta$,0.024624625220894814,0.0146313002333045,-0.0010914087761193514,0.015722710639238358
$\delta$,0.024824824184179306,0.014607727527618408,-0.0011002856772392988,0.015708010643720627
$\delta$,0.025025025010108948,0.014584020711481571,-0.0011091637425124645,0.01569318398833275
$\delta$,0.02522522583603859,0.014560192823410034,-0.0011180430883541703,0.01567823812365532
$\delta$,0.025425424799323082,0.014536244794726372,-0.0011269234819337726,0.01566316746175289
$\delta$,0.025625625625252724,0.014512171968817711,-0.0011358052724972367,0.015647975727915764
$\delta$,0.025825826451182365,0.0144879762083292,-0.001144688343629241,0.015632664784789085
$\delta$,0.026026025414466858,0.014463663101196289,-0.0011535725789144635,0.01561723556369543
$\delta$,0.0262262262403965,0.014439219608902931,-0.0011624578619375825,0.01560167595744133
$\delta$,0.02642642706632614,0.014414658769965172,-0.0011713444255292416,0.015586002729833126
$\delta$,0.026626626029610634,0.014389974996447563,-0.0011802322696894407,0.015570207498967648
$\delta$,0.026826826855540276,0.014365177601575851,-0.0011891210451722145,0.015554296784102917
$\delta$,0.027027027681469917,0.014340251684188843,-0.0011980114504694939,0.015538263134658337
$\delta$,0.02722722664475441,0.014315212145447731,-0.0012069027870893478,0.015522116795182228
$\delta$,0.02742742747068405,0.014290046878159046,-0.001215795404277742,0.015505845658481121
$\delta$,0.027627628296613693,0.014264767989516258,-0.001224689302034676,0.015489456243813038
$\delta$,0.027827827259898186,0.014239370822906494,-0.0012335842475295067,0.015472951345145702
$\delta$,0.028028028085827827,0.01421385258436203,-0.0012424804735928774,0.015456334687769413
$\delta$,0.02822822891175747,0.014188218861818314,-0.0012513778638094664,0.015439595095813274
$\delta$,0.02842842787504196,0.014162469655275345,-0.0012602764181792736,0.015422748401761055
$\delta$,0.028628628700971603,0.014136601239442825,-0.0012691764859482646,0.015405775047838688
$\delta$,0.028828829526901245,0.014110616408288479,-0.0012780773686245084,0.01538869459182024
$\delta$,0.029029028490185738,0.014084518887102604,-0.0012869794154539704,0.01537149678915739
$\delta$,0.02922922931611538,0.014058303087949753,-0.001295883092097938,0.015354187227785587
$\delta$,0.02942943014204502,0.014031972736120224,-0.0013047877000644803,0.015336761251091957
$\delta$,0.029629629105329514,0.014005528762936592,-0.0013136937050148845,0.01531922072172165
$\delta$,0.029829829931259155,0.013978972099721432,-0.0013226005248725414,0.015301569364964962
$\delta$,0.030030030757188797,0.01395229808986187,-0.0013315088581293821,0.015283806249499321
$\delta$,0.03023022972047329,0.01392551138997078,-0.001340418471954763,0.015265929512679577
$\delta$,0.03043043054640293,0.01389861386269331,-0.0013493290171027184,0.015247941017150879
$\delta$,0.030630631372332573,0.013871598988771439,-0.0013582408428192139,0.015229839831590652
$\delta$,0.030830830335617065,0.013844477944076061,-0.0013671540655195713,0.01521163061261177
$\delta$,0.031031031161546707,0.013817242346704006,-0.0013760681031271815,0.01519331056624651
$\delta$,0.03123123198747635,0.013789896853268147,-0.0013849837705492973,0.015174881555140018
$\delta$,0.03143143281340599,0.013762440532445908,-0.0013939007185399532,0.015156342647969723
$\delta$,0.031631629914045334,0.013734874315559864,-0.00140281836502254,0.015137693844735622
$\delta$,0.031831830739974976,0.013707196339964867,-0.0014117375249043107,0.015118934214115143
$\delta$,0.03203203156590462,0.013679406605660915,-0.0014206579653546214,0.015100066550076008
$\delta$,0.03223223239183426,0.013651510700583458,-0.0014295794535428286,0.015081089921295643
$\delta$,0.0324324332177639,0.013623509556055069,-0.001438502105884254,0.015062009915709496
$\delta$,0.03263263404369354,0.013595391064882278,-0.0014474260387942195,0.015042819082736969
$\delta$,0.032832831144332886,0.01356717199087143,-0.0014563511358574033,0.015023521147668362
$\delta$,0.03303303197026253,0.013538842089474201,-0.0014652775134891272,0.015004119835793972
$\delta$,0.03323323279619217,0.013510406948626041,-0.0014742050552740693,0.014984612353146076
$\delta$,0.03343343362212181,0.013481860980391502,-0.0014831337612122297,0.014964994974434376
$\delta$,0.03363363444805145,0.013453211635351181,-0.001492063864134252,0.014945273287594318
$\delta$,0.033833835273981094,0.013424457050859928,-0.0015009951312094927,0.014925453811883926
$\delta$,0.03403403237462044,0.013395595364272594,-0.001509927329607308,0.01490552444010973
$\delta$,0.03423423320055008,0.013366630300879478,-0.001518860924988985,0.014885490760207176
$\delta$,0.03443443402647972,0.013337557204067707,-0.0015277958009392023,0.014865352772176266
$\delta$,0.03463463485240936,0.013308384455740452,-0.001536731724627316,0.014845116063952446
$\delta$,0.034834835678339005,0.013279101811349392,-0.0015456690452992916,0.014824772253632545
$\delta$,0.035035036504268646,0.013249720446765423,-0.0015546072972938418,0.014804328791797161
$\delta$,0.03523523360490799,0.013220231980085373,-0.0015635470626875758,0.01478378102183342
$\delta$,0.03543543443083763,0.01319064013659954,-0.0015724877594038844,0.014763128012418747
$\delta$,0.03563563525676727,0.013160951435565948,-0.001581429853104055,0.014742381870746613
$\delta$,0.035835836082696915,0.013131157495081425,-0.0015903731109574437,0.014721530489623547
$\delta$,0.036036036908626556,0.013101262971758842,-0.0015993176493793726,0.014700579456984997
$\delta$,0.0362362377345562,0.013071264140307903,-0.001608263235539198,0.014679526910185814
$\delta$,0.03643643483519554,0.01304116751998663,-0.0016172098694369197,0.014658378437161446
$\delta$,0.03663663566112518,0.013010967522859573,-0.0016261580167338252,0.01463712565600872
$\delta$,0.036836836487054825,0.012980668805539608,-0.0016351074445992708,0.01461577694863081
$\delta$,0.03703703731298447,0.012950267642736435,-0.0016440579202026129,0.01459432765841484
$\delta$,0.03723723813891411,0.012919771485030651,-0.0016530095599591732,0.014572781510651112
$\delta$,0.03743743896484375,0.012889176607131958,-0.0016619623638689518,0.014551140367984772
$\delta$,0.03763763606548309,0.012858479283750057,-0.0016709162155166268,0.0145293939858675
$\delta$,0.037837836891412735,0.012827686965465546,-0.0016798716969788074,0.014507558196783066
$\delta$,0.03803803771734238,0.012796794064342976,-0.0016888284590095282,0.014485622756183147
$\delta$,0.03823823854327202,0.012765802443027496,-0.0016977860359475017,0.014463587664067745
$\delta$,0.03843843936920166,0.012734713964164257,-0.0017067448934540153,0.014441457577049732
$\delta$,0.0386386401951313,0.01270353514701128,-0.0017157052643597126,0.014419239945709705
$\delta$,0.038838837295770645,0.01267225295305252,-0.001724666333757341,0.01439691986888647
$\delta$,0.03903903812170029,0.012640876695513725,-0.0017336288001388311,0.01437450386583805
$\delta$,0.03923923894762993,0.012609406374394894,-0.0017425925470888615,0.014351999387145042
$\delta$,0.03943943977355957,0.012577840127050877,-0.0017515575746074319,0.014329396188259125
$\delta$,0.03963964059948921,0.012546174228191376,-0.0017605238826945424,0.014306697994470596
$\delta$,0.039839841425418854,0.012514419853687286,-0.0017694912385195494,0.01428391132503748
$\delta$,0.0400400385260582,0.012482569552958012,-0.0017784596420824528,0.014261028729379177
$\delta$,0.04024023935198784,0.012450626119971275,-0.001787429442629218,0.014238054864108562
$\delta$,0.04044044017791748,0.012418589554727077,-0.0017964004073292017,0.014214988797903061
$\delta$,0.04064064100384712,0.012386458925902843,-0.0018053725361824036,0.014191830530762672
$\delta$,0.040840841829776764,0.012354232370853424,-0.0018143461784347892,0.014168580994009972
$\delta$,0.041041042655706406,0.012321919202804565,-0.0018233208684250712,0.014145241118967533
$\delta$,0.04124123975634575,0.012289511039853096,-0.0018322962569072843,0.014121809042990208
$\delta$,0.04144144058227539,0.012257009744644165,-0.0018412735080346465,0.014098282903432846
$\delta$,0.04164164140820503,0.012224424630403519,-0.0018502520397305489,0.014074675738811493
$\delta$,0.041841842234134674,0.012191739864647388,-0.0018592311535030603,0.014050972647964954
$\delta$,0.042042043060064316,0.012158967554569244,-0.0018682117806747556,0.014027179218828678
