kind,state,ic_index,value
residual_rms,delta,57,0.017854515463113785
error_rms,delta,57,0.00041130674071609974
residual_rms,delta,58,0.014540369622409344
error_rms,delta,58,0.001278286101296544
residual_rms,delta,59,0.01950865238904953
error_rms,delta,59,0.0008987179026007652
residual_rms,delta,60,0.01848497986793518
error_rms,delta,60,0.00029534794157370925
residual_rms,delta,61,0.01723412610590458
error_rms,delta,61,0.0010284984018653631
residual_rms,delta,62,0.016921358183026314
error_rms,delta,62,0.0005621641175821424
residual_rms,delta,63,0.01580973155796528
error_rms,delta,63,0.0006236248882487416
residual_rms,delta,64,0.01802426017820835
error_rms,delta,64,0.0012355338549241424
residual_rms,delta,65,0.018818989396095276
error_rms,delta,65,0.0003534544084686786
residual_rms,delta,66,0.01877729594707489
error_rms,delta,66,0.0008668981026858091
residual_rms,delta,67,0.017691219225525856
error_rms,delta,67,0.0006745359278284013
residual_rms,delta,68,0.01664854772388935
error_rms,delta,68,0.00048350615543313324
residual_rms,delta,69,0.01583017036318779
error_rms,delta,69,0.0004385564534459263
residual_rms,delta,70,0.016784612089395523
error_rms,delta,70,0.001128551084548235
residual_rms,delta,71,0.015070831403136253
error_rms,delta,71,0.0012190639972686768
residual_rms,delta,72,0.018799863755702972
error_rms,delta,72,0.0007835688884370029
residual_rms,delta,73,0.017771033570170403
error_rms,delta,73,0.0009077147115021944
residual_rms,delta,74,0.017386609688401222
error_rms,delta,74,0.00045412915642373264
residual_rms,delta,75,0.017393136397004128
error_rms,delta,75,0.0010418707970529795
residual_rms,delta,76,0.01379410084336996
error_rms,delta,76,0.0006829281919635832
residual_rms,delta,77,0.018312236294150352
error_rms,delta,77,0.0009546394576318562
residual_rms,delta,78,0.016904955729842186
error_rms,delta,78,0.0005330205312930048
residual_rms,delta,79,0.019296513870358467
error_rms,delta,79,0.0012753895716741681
residual_rms,delta,80,0.01988854445517063
error_rms,delta,80,0.0013743203599005938
residual_rms,delta,81,0.014761212281882763
error_rms,delta,81,0.0005065958248451352
residual_rms,delta,82,0.017137859016656876
error_rms,delta,82,0.0005711697740480304
residual_rms,delta,83,0.01839614287018776
error_rms,delta,83,0.0012373626232147217
residual_rms,delta,84,0.019671812653541565
error_rms,delta,84,0.001062355819158256
residual_rms,delta,85,0.01853346824645996
error_rms,delta,85,0.000744259508792311
residual_rms,delta,86,0.01471941638737917
error_rms,delta,86,0.00040250562597066164
residual_rms,delta,87,0.01754014939069748
error_rms,delta,87,0.0010859082685783505
residual_rms,delta,88,0.0160629041492939
error_rms,delta,88,0.0014341366477310658
residual_rms,delta,89,0.017085939645767212
error_rms,delta,89,0.0010601518442854285
residual_rms,delta,90,0.01554849836975336
error_rms,delta,90,0.0006484105833806098
residual_rms,delta,91,0.01484629511833191
error_rms,delta,91,0.0009956798749044538
residual_rms,delta,92,0.016368534415960312
error_rms,delta,92,0.0004800685273949057
residual_rms,delta,93,0.014555280096828938
error_rms,delta,93,0.0006502112373709679
residual_rms,delta,94,0.014912949874997139
error_rms,delta,94,0.0010900766355916858
residual_rms,delta,95,0.013831290416419506
error_rms,delta,95,0.00041854529990814626
residual_rms,delta,96,0.01790148951113224
error_rms,delta,96,0.0007066030520945787
residual_rms,delta,97,0.01810274086892605
error_rms,delta,97,0.0009671722655184567
residual_rms,delta,98,0.01921512372791767
error_rms,delta,98,0.0011223579058423638
residual_rms,delta,99,0.015948385000228882
error_rms,delta,99,0.00040060398168861866
residual_rms,delta,100,0.01785092055797577
error_rms,delta,100,0.0009484514012001455
residual_rms,delta,101,0.01573086716234684
error_rms,delta,101,0.0004043341614305973
residual_rms,delta,102,0.018345758318901062
error_rms,delta,102,0.0008646066999062896
residual_rms,delta,103,0.01664343662559986
error_rms,delta,103,0.0006836929824203253
residual_rms,delta,104,0.01609385386109352
error_rms,delta,104,0.00043283324339427054
residual_rms,delta,105,0.015609219670295715
error_rms,delta,105,0.0006095070857554674
residual_rms,delta,106,0.016604159027338028
error_rms,delta,106,0.0006561646005138755
residual_rms,delta,107,0.015808656811714172
error_rms,delta,107,0.000449126964667812
residual_rms,delta,108,0.016583824530243874
error_rms,delta,108,0.0005550903733819723
residual_rms,delta,109,0.01789085380733013
error_rms,delta,109,0.0008666327339597046
residual_rms,delta,110,0.014054029248654842
error_rms,delta,110,0.0005601370357908309
residual_rms,delta,111,0.01604912430047989
error_rms,delta,111,0.0004908285336568952
residual_rms,delta,112,0.01764766499400139
error_rms,delta,112,0.0004982089158147573
