state,bin_left,bin_right,mean_residual,mean_future_error,count
delta,0.0,0.002726115286350251,0.001361995586194098,0.0006031645461916924,100000
delta,0.002726115286350251,0.005363398790359498,0.004050055053085089,0.0005993546801619232,100000
delta,0.005363398790359498,0.007927507162094116,0.006645884830504656,0.0005972296930849552,100003
delta,0.007927507162094116,0.010592132806777954,0.009251125156879425,0.000626587076112628,99998
delta,0.010592132806777954,0.013276278972625732,0.011939644813537598,0.0006417030235752463,99999
delta,0.013276278972625732,0.015930086374282837,0.014595270156860352,0.0006417369586415589,100001
delta,0.015930086374282837,0.01867462992668152,0.017303315922617912,0.0006406899774447083,99999
delta,0.01867462992668152,0.021750569343566895,0.020158609375357628,0.0006422701408155262,100001
delta,0.021750569343566895,0.025944982469081876,0.023683149367570877,0.0006157104508019984,99999
delta,0.025944982469081876,0.06915140151977539,0.03216055780649185,0.0007018308388069272,100000
omega,3.8743019104003906e-07,0.05960235893726349,0.029346013441681862,0.0005627088830806315,100000
omega,0.05960235893726349,0.1215121015906334,0.09041717648506165,0.0012542923213914037,100000
omega,0.1215121015906334,0.1843840464949608,0.15264205634593964,0.0020726327784359455,100000
omega,0.1843840464949608,0.2488767117261887,0.216448575258255,0.002946823835372925,100000
omega,0.2488767117261887,0.31807155907154083,0.2829255163669586,0.0038772968109697104,100000
omega,0.31807155907154083,0.3944689393043521,0.35519468784332275,0.0048330663703382015,100000
omega,0.3944689393043521,0.4856271654367448,0.4382331371307373,0.0059130131267011166,100000
omega,0.4856271654367448,0.6013773918151857,0.5411772131919861,0.007343900855630636,100000
omega,0.6013773918151857,0.7757055401802062,0.6822169423103333,0.009198571555316448,100000
omega,0.7757055401802062,1.4560073614120483,0.9320383071899414,0.012498846277594566,100000
E_d_dash,7.450580596923828e-09,0.0017017919570207598,0.0008524012519046664,0.0004767729842569679,100000
E_d_dash,0.0017017919570207598,0.003403396159410477,0.0025494650471955538,0.0004697881231550127,100000
E_d_dash,0.003403396159410477,0.0051734968088567295,0.004279118962585926,0.000443615106632933,100000
E_d_dash,0.0051734968088567295,0.006983329728245736,0.006071355193853378,0.0004183692508377135,100000
E_d_dash,0.006983329728245736,0.008851854130625725,0.007904996164143085,0.0003943215124309063,100000
E_d_dash,0.008851854130625725,0.010917409695684915,0.00986423622816801,0.000368985696695745,100000
E_d_dash,0.010917409695684915,0.013301795907318593,0.012079469859600067,0.0003577457391656935,100000
E_d_dash,0.013301795907318593,0.0162802129983902,0.014727017842233181,0.00038026366382837296,100000
E_d_dash,0.0162802129983902,0.020534696802496907,0.018228793516755104,0.00042382883839309216,100000
E_d_dash,0.020534696802496907,0.03876001387834549,0.024673569947481155,0.0004184379940852523,100000
E_q_dash,7.450580596923828e-09,0.002336692530661822,0.0011636951239779592,0.0009573015850037336,100000
E_q_dash,0.002336692530661822,0.004736194759607315,0.003536263480782509,0.0009368018945679069,100000
E_q_dash,0.004736194759607315,0.007193114468827844,0.0059619322419166565,0.0009031983790919185,100000
E_q_dash,0.007193114468827844,0.009671739675104618,0.008425748907029629,0.0008689085952937603,100000
E_q_dash,0.009671739675104618,0.012166015803813934,0.01092037744820118,0.0008307536481879652,100000
E_q_dash,0.012166015803813934,0.014861916750669498,0.013485435396432877,0.0007824047352187335,100000
E_q_dash,0.014861916750669498,0.018029040284454824,0.016397858038544655,0.0007190463948063552,100000
E_q_dash,0.018029040284454824,0.021864922717213634,0.01987656019628048,0.0006409475463442504,100000
E_q_dash,0.021864922717213634,0.02694498635828495,0.02426251396536827,0.0005922569544054568,100000
E_q_dash,0.02694498635828495,0.0649745911359787,0.03251364827156067,0.00063461740501225,100000
E_d_dd,5.960464477539063e-08,0.02188551649451256,0.011012550443410873,0.0006006681360304356,100000
E_d_dd,0.02188551649451256,0.04321357905864716,0.03237256035208702,0.0009262131643481553,100000
E_d_dd,0.04321357905864716,0.06696157902479172,0.05510396510362625,0.0014370466815307736,100000
E_d_dd,0.06696157902479172,0.08918437361717224,0.07815535366535187,0.002150472952052951,100000
E_d_dd,0.08918437361717224,0.11255918443202972,0.10080423951148987,0.0027550687082111835,100000
E_d_dd,0.11255918443202972,0.1393269658088684,0.12541870772838593,0.003442344255745411,100000
E_d_dd,0.1393269658088684,0.16884270906448368,0.15377913415431976,0.004193859174847603,100000
E_d_dd,0.16884270906448368,0.20874380767345432,0.18843495845794678,0.005182126071304083,100000
E_d_dd,0.20874380767345432,0.26212743520736687,0.23289720714092255,0.006378309801220894,100000
E_d_dd,0.26212743520736687,0.47512519359588623,0.3088708817958832,0.008645374327898026,100000
E_q_dd,3.632158041000366e-08,0.0029303620569407943,0.0014703389024361968,0.0004925125977024436,100000
E_q_dd,0.0029303620569407943,0.005813024006783962,0.004376760218292475,0.000490319449454546,100001
E_q_dd,0.005813024006783962,0.008673497382551434,0.0072424039244651794,0.0004898107727058232,99999
E_q_dd,0.008673497382551434,0.011601089127361778,0.010140451602637768,0.0004784820484928787,100000
E_q_dd,0.011601089127361778,0.014530094340443611,0.01306252833455801,0.0004815275315195322,100000
E_q_dd,0.014530094340443611,0.017595998197793963,0.016037706285715103,0.00048226749640889466,100000
E_q_dd,0.017595998197793963,0.021114137209951877,0.01931382156908512,0.00045669201062992215,100000
E_q_dd,0.021114137209951877,0.025548820570111284,0.023221762850880623,0.0004176883667241782,100000
E_q_dd,0.025548820570111284,0.031494079157710075,0.02829868718981743,0.000359340978320688,100000
E_q_dd,0.031494079157710075,0.14047126471996307,0.042474184185266495,0.00039237557211890817,100000
