state,RMSE_oneshot_mean,RMSE_iterative_mean
$\delta$,0.055293475091457364,0.04573323484510183
$\omega$,0.273344461619854,0.2732152134180069
$E'_d$,0.05566778630018234,0.011283168196678161
$E'_q$,0.8365596055984497,0.8480788350105286
