state,bin_left,bin_right,mean_residual,mean_future_error,count
delta,0.0,0.006899094581604004,0.003465494140982628,0.005958315916359425,10000
delta,0.006899094581604004,0.014023178815841676,0.010513664223253727,0.005898337345570326,10000
delta,0.014023178815841676,0.02125833928585053,0.017683759331703186,0.005837637465447187,10000
delta,0.02125833928585053,0.028061574697494512,0.024628832936286926,0.005726298317313194,10000
delta,0.028061574697494512,0.03621920943260193,0.03207911550998688,0.005515286698937416,10000
delta,0.03621920943260193,0.04601234793663026,0.04079039394855499,0.005220490973442793,10000
delta,0.04601234793663026,0.06323769539594651,0.053503382951021194,0.004993310198187828,10000
delta,0.06323769539594651,0.08589069843292238,0.07501398026943207,0.004458719864487648,10000
delta,0.08589069843292238,0.10372060686349868,0.0947810634970665,0.004063812550157309,10000
delta,0.10372060686349868,0.22863778471946716,0.11956992000341415,0.00396594125777483,10000
omega,4.51505184173584e-06,0.0729767143726349,0.037471044808626175,0.0029165332671254873,10000
omega,0.0729767143726349,0.146309369802475,0.1100490465760231,0.003200060687959194,10000
omega,0.146309369802475,0.2178993791341782,0.18061751127243042,0.0038545788265764713,10000
omega,0.2178993791341782,0.2943284630775452,0.2574892044067383,0.004357654135674238,10000
omega,0.2943284630775452,0.3636491000652313,0.32766932249069214,0.00508156418800354,10000
omega,0.3636491000652313,0.44219586849212655,0.3989267945289612,0.0059418827295303345,10000
omega,0.44219586849212655,0.5439376592636108,0.4912092685699463,0.006939972750842571,10000
omega,0.5439376592636108,0.6597996234893799,0.6013150811195374,0.008632502518594265,10000
omega,0.6597996234893799,0.807374054193497,0.7313617467880249,0.009755048900842667,10000
omega,0.807374054193497,1.4911985397338867,0.9556264877319336,0.013463608920574188,10000
E_d_dash,1.7182901501655579e-07,0.007105367071926594,0.0036224231589585543,0.001672182115726173,10000
E_d_dash,0.007105367071926594,0.014076887816190722,0.010693433694541454,0.0017822219524532557,10000
E_d_dash,0.014076887816190722,0.021794201061129576,0.017930040135979652,0.001838076044805348,10000
E_d_dash,0.021794201061129576,0.028826405853033074,0.025146719068288803,0.0021607617381960154,10000
E_d_dash,0.028826405853033074,0.036038706079125404,0.032502029091119766,0.0024731955491006374,10000
E_d_dash,0.036038706079125404,0.04167018979787827,0.038783855736255646,0.002938515041023493,10000
E_d_dash,0.04167018979787827,0.04877682588994503,0.04510412737727165,0.003499998478218913,10000
E_d_dash,0.04877682588994503,0.057037004828453065,0.052794452756643295,0.004328142385929823,10000
E_d_dash,0.057037004828453065,0.06799909099936485,0.06221616640686989,0.005455674137920141,10000
E_d_dash,0.06799909099936485,0.12918785214424133,0.07737987488508224,0.007253008894622326,10000
E_q_dash,1.6577541828155518e-07,0.006691038515418769,0.0034774946980178356,0.0033803984988480806,10000
E_q_dash,0.006691038515418769,0.01389927789568901,0.010398323647677898,0.003557105315849185,10000
E_q_dash,0.01389927789568901,0.020729161240160467,0.017278455197811127,0.0036048556212335825,10000
E_q_dash,0.020729161240160467,0.027253207191824922,0.024087511003017426,0.0033989932853728533,10000
E_q_dash,0.027253207191824922,0.03333822637796402,0.030377600342035294,0.003216548589989543,10000
E_q_dash,0.03333822637796402,0.04067215546965602,0.03694363683462143,0.0029398673214018345,10000
E_q_dash,0.04067215546965602,0.05056740380823613,0.045383576303720474,0.0026283804327249527,10000
E_q_dash,0.05056740380823613,0.06595758497714999,0.058348413556814194,0.002221711678430438,10000
E_q_dash,0.06595758497714999,0.08886854946613312,0.076180599629879,0.0023510761093348265,10000
E_q_dash,0.08886854946613312,0.3041183054447174,0.12414229661226273,0.004042069893330336,10000
E_d_dd,1.1920928955078125e-07,0.018909528106451037,0.009321387857198715,0.0030401423573493958,10000
E_d_dd,0.018909528106451037,0.04286820292472839,0.030938532203435898,0.0030764099210500717,10000
E_d_dd,0.04286820292472839,0.06957051157951358,0.056506067514419556,0.0035230033099651337,10000
E_d_dd,0.06957051157951358,0.09636754840612412,0.08308081328868866,0.003533377544954419,10000
E_d_dd,0.09636754840612412,0.1297812983393669,0.11187604069709778,0.0043069045059382915,10000
E_d_dd,0.1297812983393669,0.166376268863678,0.1483430713415146,0.004920521751046181,10000
E_d_dd,0.166376268863678,0.19762833118438722,0.18196803331375122,0.005809146445244551,10000
E_d_dd,0.19762833118438722,0.24419393539428713,0.21938230097293854,0.005267431028187275,10000
E_d_dd,0.24419393539428713,0.31071998476982127,0.2777053117752075,0.007562969345599413,10000
E_d_dd,0.31071998476982127,0.5676760673522949,0.3665476143360138,0.010343262925744057,10000
E_q_dd,9.12696123123169e-08,0.007092989142984153,0.003521451959386468,0.0035902182571589947,10000
E_q_dd,0.007092989142984153,0.013997522927820683,0.01059163548052311,0.0036102179437875748,10000
E_q_dd,0.013997522927820683,0.02100641019642353,0.017391880974173546,0.003703347872942686,10000
E_q_dd,0.02100641019642353,0.028480379283428208,0.024671180173754692,0.00374351697973907,10000
E_q_dd,0.028480379283428208,0.03634268790483475,0.032292384654283524,0.003875277005136013,10000
E_q_dd,0.03634268790483475,0.046488024294376394,0.04131847992539406,0.00365930562838912,10000
E_q_dd,0.046488024294376394,0.059754717722535135,0.05271073058247566,0.003654694417491555,10000
E_q_dd,0.059754717722535135,0.07832548767328262,0.0682060644030571,0.003582733916118741,10000
E_q_dd,0.07832548767328262,0.11134150251746182,0.0926891416311264,0.0037911522667855024,10000
E_q_dd,0.11134150251746182,0.4229300916194916,0.160077765583992,0.0034753631334751844,10000
