state,which,ic_index,rms_value,delta0,omega0,E_d0,E_q0,E_dd0,E_qq0,Vt0,theta_vs0
delta,residual_best,41,0.04253712669014931,0.07934597879648209,0.48589515686035156,0.0,1.0,0.0,1.0,0.9812800288200378,-0.020926877856254578
delta,residual_worst,30,0.08633987605571747,-0.07200238108634949,-0.5392332077026367,0.0,1.0,0.0,1.0,0.9895296692848206,-0.08317261189222336
delta,error_best,83,0.0015342800179496408,-0.005046673119068146,-0.526155412197113,0.0,1.0,0.0,1.0,0.9947760701179504,-0.017905697226524353
delta,error_worst,69,0.012755013071000576,-0.06693850457668304,0.5947521924972534,0.0,1.0,0.0,1.0,1.0046623945236206,0.0678134486079216
omega,residual_best,97,0.05700477585196495,0.0507020428776741,-0.33910176157951355,0.0,1.0,0.0,1.0,0.9863774180412292,0.09567161649465561
omega,residual_worst,77,1.2340832948684692,0.08544174581766129,0.01077723503112793,0.0,1.0,0.0,1.0,1.008442997932434,-0.09964142739772797
omega,error_best,8,0.0008909499156288803,0.010067775845527649,-0.5816845893859863,0.0,1.0,0.0,1.0,1.001983404159546,0.04771933704614639
omega,error_worst,64,0.017414912581443787,0.08191711455583572,0.37283170223236084,0.0,1.0,0.0,1.0,1.0111955404281616,-0.0692015141248703
E_d_dash,residual_best,38,0.020808668807148933,-0.08498232811689377,-0.024654805660247803,0.0,1.0,0.0,1.0,1.0063226222991943,0.09704429656267166
E_d_dash,residual_worst,21,0.0669468492269516,0.0704755112528801,-0.5716367959976196,0.0,1.0,0.0,1.0,1.014012336730957,-0.06457100063562393
E_d_dash,error_best,69,0.0009343833662569523,-0.06693850457668304,0.5947521924972534,0.0,1.0,0.0,1.0,1.0046623945236206,0.0678134486079216
E_d_dash,error_worst,37,0.0068896254524588585,0.02189812809228897,-0.4573417901992798,0.0,1.0,0.0,1.0,0.991050660610199,-0.09309457242488861
E_q_dash,residual_best,34,0.024215659126639366,-0.07123461365699768,-0.25492870807647705,0.0,1.0,0.0,1.0,0.9996320605278015,0.0693032518029213
E_q_dash,residual_worst,88,0.11660601943731308,0.003063872456550598,0.5485533475875854,0.0,1.0,0.0,1.0,1.0157358646392822,-0.085210882127285
E_q_dash,error_best,70,0.0009513273253105581,0.06384817510843277,-0.48221611976623535,0.0,1.0,0.0,1.0,1.0192214250564575,0.09055765718221664
E_q_dash,error_worst,81,0.0058336807414889336,0.06724510341882706,-0.10582926869392395,0.0,1.0,0.0,1.0,0.9832470417022705,-0.03906255587935448
E_d_dd,residual_best,42,0.0311420951038599,0.05346723645925522,-0.05982613563537598,0.0,1.0,0.0,1.0,1.0057361125946045,0.08425787836313248
E_d_dd,residual_worst,77,0.45158374309539795,0.08544174581766129,0.01077723503112793,0.0,1.0,0.0,1.0,1.008442997932434,-0.09964142739772797
E_d_dd,error_best,4,0.0013068623375147581,0.07572246342897415,0.14319497346878052,0.0,1.0,0.0,1.0,0.9817835688591003,0.08066386729478836
E_d_dd,error_worst,64,0.014948361553251743,0.08191711455583572,0.37283170223236084,0.0,1.0,0.0,1.0,1.0111955404281616,-0.0692015141248703
E_q_dd,residual_best,47,0.05058000236749649,0.08680222183465958,0.21483170986175537,0.0,1.0,0.0,1.0,1.0007494688034058,-0.030127190053462982
E_q_dd,residual_worst,87,0.10409799218177795,-0.054242201149463654,-0.5938049554824829,0.0,1.0,0.0,1.0,1.004977822303772,0.053098537027835846
E_q_dd,error_best,64,0.0017089181346818805,0.08191711455583572,0.37283170223236084,0.0,1.0,0.0,1.0,1.0111955404281616,-0.0692015141248703
E_q_dd,error_worst,4,0.006014942191541195,0.07572246342897415,0.14319497346878052,0.0,1.0,0.0,1.0,0.9817835688591003,0.08066386729478836
