kind,state,t,value
mean_abs_error,delta,0.004404404200613499,0.0024011461064219475
mean_abs_residual,delta,0.004604604560881853,0.058283545076847076
mean_abs_error,delta,0.004604604560881853,0.002403296297416091
mean_abs_residual,delta,0.0048048049211502075,0.05909092351794243
mean_abs_error,delta,0.0048048049211502075,0.0024055354297161102
mean_abs_residual,delta,0.005005004815757275,0.059889812022447586
mean_abs_error,delta,0.005005004815757275,0.002407478168606758
mean_abs_residual,delta,0.005205205176025629,0.060780808329582214
mean_abs_error,delta,0.005205205176025629,0.0024091063532978296
mean_abs_residual,delta,0.0054054055362939835,0.061723046004772186
mean_abs_error,delta,0.0054054055362939835,0.002410723827779293
mean_abs_residual,delta,0.005605605430901051,0.06274965405464172
mean_abs_error,delta,0.005605605430901051,0.0024120102170854807
mean_abs_residual,delta,0.005805805791169405,0.0637321025133133
mean_abs_error,delta,0.005805805791169405,0.002413614187389612
mean_abs_residual,delta,0.006006006151437759,0.06467004120349884
mean_abs_error,delta,0.006006006151437759,0.002414981136098504
mean_abs_residual,delta,0.0062062060460448265,0.06556542217731476
mean_abs_error,delta,0.0062062060460448265,0.0024160747416317463
mean_abs_residual,delta,0.006406406406313181,0.0664176419377327
mean_abs_error,delta,0.006406406406313181,0.002416929230093956
mean_abs_residual,delta,0.006606606766581535,0.06722746044397354
mean_abs_error,delta,0.006606606766581535,0.002417626092210412
mean_abs_residual,delta,0.0068068066611886024,0.06801311671733856
mean_abs_error,delta,0.0068068066611886024,0.0024181478656828403
mean_abs_residual,delta,0.007007007021456957,0.0687580332159996
mean_abs_error,delta,0.007007007021456957,0.0024193169083446264
mean_abs_residual,delta,0.007207207381725311,0.06946448236703873
mean_abs_error,delta,0.007207207381725311,0.0024202459026128054
mean_abs_residual,delta,0.007407407276332378,0.07020721584558487
mean_abs_error,delta,0.007407407276332378,0.0024211304262280464
mean_abs_residual,delta,0.007607607636600733,0.07091347873210907
mean_abs_error,delta,0.007607607636600733,0.002421692246571183
mean_abs_residual,delta,0.007807807996869087,0.07157658785581589
mean_abs_error,delta,0.007807807996869087,0.0024221488274633884
mean_abs_residual,delta,0.008008007891476154,0.0722055435180664
mean_abs_error,delta,0.008008007891476154,0.002422506920993328
mean_abs_residual,delta,0.008208207786083221,0.0728270560503006
mean_abs_error,delta,0.008208207786083221,0.0024227311369031668
mean_abs_residual,delta,0.008408408612012863,0.07341630756855011
mean_abs_error,delta,0.008408408612012863,0.002422797027975321
mean_abs_residual,delta,0.00860860850661993,0.07399068027734756
mean_abs_error,delta,0.00860860850661993,0.0024227832909673452
mean_abs_residual,delta,0.008808808401226997,0.07454974949359894
mean_abs_error,delta,0.008808808401226997,0.0024225572124123573
mean_abs_residual,delta,0.009009009227156639,0.07507649064064026
mean_abs_error,delta,0.009009009227156639,0.002422371879220009
mean_abs_residual,delta,0.009209209121763706,0.07555937021970749
mean_abs_error,delta,0.009209209121763706,0.0024220163468271494
mean_abs_residual,delta,0.009409409016370773,0.07599928975105286
mean_abs_error,delta,0.009409409016370773,0.0024220154155045748
mean_abs_residual,delta,0.009609609842300415,0.07640275359153748
mean_abs_error,delta,0.009609609842300415,0.0024223532527685165
mean_abs_residual,delta,0.009809809736907482,0.07677404582500458
mean_abs_error,delta,0.009809809736907482,0.0024230072740465403
mean_abs_residual,delta,0.01001000963151455,0.0771041288971901
mean_abs_error,delta,0.01001000963151455,0.0024244452361017466
mean_abs_residual,delta,0.010210210457444191,0.07739371061325073
mean_abs_error,delta,0.010210210457444191,0.002426550490781665
mean_abs_residual,delta,0.010410410352051258,0.07764357328414917
mean_abs_error,delta,0.010410410352051258,0.0024290166329592466
mean_abs_residual,delta,0.010610610246658325,0.07785971462726593
mean_abs_error,delta,0.010610610246658325,0.0024317277129739523
mean_abs_residual,delta,0.010810811072587967,0.07803910970687866
mean_abs_error,delta,0.010810811072587967,0.002435280941426754
mean_abs_residual,delta,0.011011010967195034,0.07818306237459183
mean_abs_error,delta,0.011011010967195034,0.0024389633908867836
mean_abs_residual,delta,0.011211210861802101,0.0783059224486351
mean_abs_error,delta,0.011211210861802101,0.0024428009055554867
mean_abs_residual,delta,0.011411411687731743,0.07839269191026688
mean_abs_error,delta,0.011411411687731743,0.0024467790499329567
mean_abs_residual,delta,0.01161161158233881,0.0784444585442543
mean_abs_error,delta,0.01161161158233881,0.0024512645322829485
mean_abs_residual,delta,0.011811811476945877,0.0784616768360138
mean_abs_error,delta,0.011811811476945877,0.0024558869190514088
mean_abs_residual,delta,0.012012012302875519,0.07844651490449905
mean_abs_error,delta,0.012012012302875519,0.002460779156535864
mean_abs_residual,delta,0.012212212197482586,0.0783984363079071
mean_abs_error,delta,0.012212212197482586,0.002465805970132351
mean_abs_residual,delta,0.012412412092089653,0.07831943035125732
mean_abs_error,delta,0.012412412092089653,0.0024709843564778566
mean_abs_residual,delta,0.012612612918019295,0.07820949703454971
mean_abs_error,delta,0.012612612918019295,0.0024770465679466724
mean_abs_residual,delta,0.012812812812626362,0.07806999236345291
mean_abs_error,delta,0.012812812812626362,0.0024837255477905273
mean_abs_residual,delta,0.013013012707233429,0.07790150493383408
mean_abs_error,delta,0.013013012707233429,0.0024906685575842857
mean_abs_residual,delta,0.01321321353316307,0.07770497351884842
mean_abs_error,delta,0.01321321353316307,0.00249772728420794
mean_abs_residual,delta,0.013413413427770138,0.07748126983642578
mean_abs_error,delta,0.013413413427770138,0.0025050193071365356
mean_abs_residual,delta,0.013613613322377205,0.07723160088062286
mean_abs_error,delta,0.013613613322377205,0.0025123453233391047
mean_abs_residual,delta,0.013813814148306847,0.07696383446455002
mean_abs_error,delta,0.013813814148306847,0.0025198364164680243
mean_abs_residual,delta,0.014014014042913914,0.07667576521635056
mean_abs_error,delta,0.014014014042913914,0.0025277372915297747
mean_abs_residual,delta,0.01421421393752098,0.07636342197656631
mean_abs_error,delta,0.01421421393752098,0.0025357536505907774
mean_abs_residual,delta,0.014414414763450623,0.07602845132350922
mean_abs_error,delta,0.014414414763450623,0.0025437665171921253
mean_abs_residual,delta,0.01461461465805769,0.07567066699266434
mean_abs_error,delta,0.01461461465805769,0.002551817335188389
mean_abs_residual,delta,0.014814814552664757,0.07529153674840927
mean_abs_error,delta,0.014814814552664757,0.0025598437059670687
mean_abs_residual,delta,0.015015015378594398,0.07489809393882751
mean_abs_error,delta,0.015015015378594398,0.0025687525048851967
mean_abs_residual,delta,0.015215215273201466,0.0744883120059967
mean_abs_error,delta,0.015215215273201466,0.002577797742560506
